gene_name	chr	gene_start	gene_end	TSS_start	TSS_end	strand	gex	gex_transf	gene_name_unique
FMNL3	chr12	49636499	49708165	49668504	49668554	-	0.480535524165267	0.5661191071464707	FMNL3_X1
ORAI1	chr12	121626550	121642677	121626549	121626599	+	1.05717815316359	1.0406667377404435	ORAI1_X1
LANCL2	chr7	55365337	55433737	55394068	55394112	+	0.0	0.0	LANCL2_X1
CPNE3	chr8	86514435	86561498	86514426	86514476	+	501.05439104712303	8.971699859614548	CPNE3_X1
SLC2A13	chr12	39755025	40106089	39871831	39871881	-	0.0	0.0	SLC2A13_X1
CDHR5	chr11	616823	626336	624905	624955	-	0.0	0.0	CDHR5_X1
USP44	chr12	95516560	95551476	95551440	95551490	-	0.0	0.0	USP44_X1
NAA16	chr13	41311267	41377030	41311281	41311331	+	9.03406785430701	3.3268346942055813	NAA16_X1
OIT3	chr10	72893584	72933036	72893580	72893630	+	0.0	0.0	OIT3_X1
GRM1	chr6	146027646	146437601	146029282	146029332	+	0.0	0.0	GRM1_X1
NAGA	chr22	42058334	42070842	42070780	42070830	-	150.263458406479	7.240919699186688	NAGA_X1
GBF1	chr10	102245371	102382899	102245531	102245581	+	102.354066647202	6.691451345024079	GBF1_X1
ZNF462	chr9	106863166	107013634	106938976	106939026	+	0.480535524165267	0.5661191071464707	ZNF462_X1
MTFR2	chr6	136231024	136250335	136250274	136250324	-	273.809141669369	8.102286186731677	MTFR2_X1
FAT1	chr4	186587794	186726722	186598771	186598821	-	0.0	0.0	FAT1_X1
CSNK1G1	chr15	64165525	64356173	64356123	64356173	-	35.5596287882297	5.192179516812367	CSNK1G1_X1
NSUN7	chr4	40749925	40811184	40798873	40798904	+	0.0	0.0	NSUN7_X1
THOC7	chr3	63833870	63863868	63863818	63863868	-	8.16910391080953	3.196780747277192	THOC7_X1
KIFC1	chr6	33561891	33562220	33406220	33406270	+	2.1143563063271698	1.6389340092740403	KIFC1_X1
SLC17A1	chr6	25782915	25832052	25832009	25832059	-	0.0	0.0	SLC17A1_X1
EZH2	chr7	148807257	148884321	148884271	148884321	-	141.565765419088	7.155483776116854	EZH2_X1
TNFRSF11B	chr8	118923557	118951885	118929023	118929073	-	0.0	0.0	TNFRSF11B_X1
SYT17	chr16	19167971	19268332	19169781	19169831	+	0.0	0.0	SYT17_X1
CORO2A	chr9	98120975	98192637	98172834	98172884	-	0.0	0.0	CORO2A_X1
TLCD2	chr17	1702816	1710377	1710388	1710438	-	0.0	0.0	TLCD2_X1
SLC46A1	chr17	28394642	28407197	28406160	28406210	-	1.63382078216191	1.3971571810223802	SLC46A1_X1
HARS2	chr5	140691430	140699305	140691429	140691479	+	124.362593653971	6.969963123238167	HARS2_X1
JMY	chr5	79236131	79327211	79300242	79300292	+	1.63382078216191	1.3971571810223802	JMY_X1
MC3R	chr20	56248732	56249815	56248731	56248781	+	0.0	0.0	MC3R_X1
PRRT2	chr16	29811382	29815892	29811381	29811431	+	0.480535524165267	0.5661191071464707	PRRT2_X1
EHD4	chr15	41895933	41972557	41972528	41972578	-	569.146274821342	9.155188289554683	EHD4_X1
SCAP	chr3	47413681	47477126	47475905	47475955	-	10.1873531123037	3.483796835092886	SCAP_X1
HOXA4	chr7	27128507	27130780	27130730	27130780	-	0.0	0.0	HOXA4_X1
ALOX12	chr17	6996049	7010754	7009488	7009538	+	0.0	0.0	ALOX12_X1
FAM126A	chr7	22889371	23014130	23014080	23014130	-	177.605929731483	7.480636168622398	FAM126A_X1
MOB2	chr11	1469457	1501247	1480835	1480885	-	2.1143563063271698	1.6389340092740403	MOB2_X1
TTC21A	chr3	39107680	39138903	39107703	39107753	+	0.480535524165267	0.5661191071464707	TTC21A_X1
LRRC69	chr8	91101832	91219236	91135680	91135730	+	0.0	0.0	LRRC69_X1
ARMC10	chr7	103074881	103099759	103086638	103086688	+	0.0	0.0	ARMC10_X1
GIMAP6	chr7	150625375	150632648	150632335	150632385	-	109.081563985516	6.782429062184997	GIMAP6_X1
GPBAR1	chr2	218259496	218263861	218259495	218259545	+	0.0	0.0	GPBAR1_X1
ZNF770	chr15	34978341	34988287	34988237	34988287	-	34.454397082649606	5.147892657639727	ZNF770_X1
PLK4	chr4	127880893	127899224	127880892	127880942	+	27.294417772587103	4.822445545605675	PLK4_X1
TDRD6	chr6	46687875	46704319	46687874	46687924	+	0.0	0.0	TDRD6_X1
TTPA	chr8	63048553	63086053	63086003	63086053	-	0.0	0.0	TTPA_X1
LY6L	chr8	143080630	143083486	143080456	143080506	+	0.0	0.0	LY6L_X1
HIPK3	chr11	33256672	33357023	33257586	33257636	+	0.480535524165267	0.5661191071464707	HIPK3_X1
TRIM16	chr17	15627960	15684311	15642914	15642964	-	0.0	0.0	TRIM16_X1
NFE2	chr12	54292111	54301015	54295710	54295760	-	0.0	0.0	NFE2_X1
GTSE1	chr22	46296870	46330810	46328922	46328972	+	0.0	0.0	GTSE1_X1
TP53	chr17	7661779	7687538	7687441	7687491	-	182.026856553803	7.515911548525314	TP53_X1
GZF1	chr20	23362182	23373062	23364383	23364433	+	0.0	0.0	GZF1_X1
CBR4	chr4	168863770	169010275	169010030	169010080	-	0.480535524165267	0.5661191071464707	CBR4_X1
SHISA5	chr3	48467798	48504826	48504090	48504140	-	0.480535524165267	0.5661191071464707	SHISA5_X1
ADAMTS2	chr5	179110853	179345461	179345380	179345430	-	0.0	0.0	ADAMTS2_X1
CLEC2A	chr12	9898673	9932370	9932331	9932381	-	0.0	0.0	CLEC2A_X1
FBXO22	chr15	75903876	75942511	75903957	75904007	+	6.24696181414847	2.857376292462053	FBXO22_X1
IFNAR2	chr21	33205282	33265675	33230181	33230216	+	0.480535524165267	0.5661191071464707	IFNAR2_X1
MST1	chr3	49683947	49689501	49686802	49686852	-	0.0	0.0	MST1_X1
TP53INP1	chr8	94925972	94949378	94949361	94949411	-	13.8394230959597	3.89136310107949	TP53INP1_X1
FBN1	chr15	48408313	48645721	48645671	48645721	-	24.1228833130964	4.650930144419169	FBN1_X1
H2BC7	chr6	26199516	26199988	26199519	26199569	+	50.3601229325199	5.682576750500315	H2BC7_X1
ANKS3	chr16	4696510	4734378	4734204	4734254	-	16.6265291361182	4.1396765144641	ANKS3_X1
DYTN	chr2	206651621	206721570	206718346	206718396	-	0.0	0.0	DYTN_X1
CKLF-CMTM1	chr16	66552587	66579135	66552612	66552662	+	202.882098302576	7.6715912960566035	CKLF-CMTM1_X1
ABHD13	chr13	108218392	108234243	108218378	108218428	+	81.5949320032623	6.367981355974287	ABHD13_X1
TMEM38B	chr9	105694541	105776629	105705674	105705724	+	0.480535524165267	0.5661191071464707	TMEM38B_X1
RDX	chr11	109864295	110296712	110296590	110296640	-	30.658166441744	4.984505795656043	RDX_X1
KRTAP29-1	chr17	41301826	41302851	41302801	41302851	-	0.0	0.0	KRTAP29-1_X1
DNAAF5	chr7	726699	786475	779903	779953	+	0.0	0.0	DNAAF5_X1
GREM1	chr15	32718004	32745106	32717973	32718023	+	0.0	0.0	GREM1_X1
GAP43	chr3	115623510	115721490	115623509	115623559	+	0.0	0.0	GAP43_X1
TMEM68	chr8	55696424	55773407	55773317	55773367	-	19.029206756944603	4.3240333802175295	TMEM68_X1
ECRG4	chr2	106063246	106078155	106065655	106065705	+	0.0	0.0	ECRG4_X1
TLX2	chr2	74513463	74517148	74513615	74513665	+	0.0	0.0	TLX2_X1
SLC22A18	chr11	2899745	2925175	2916947	2916997	+	0.0	0.0	SLC22A18_X1
CNGA4	chr11	6234765	6244479	6234764	6234814	+	0.480535524165267	0.5661191071464707	CNGA4_X1
DEFB107A	chr8	12013695	12017701	7815666	7815716	-	0.0	0.0	DEFB107A_X1
NOS2	chr17	27756766	27800529	27800449	27800499	-	0.0	0.0	NOS2_X1
ZNF35	chr3	44648732	44660791	44648726	44648776	+	27.6307926395028	4.839495706588597	ZNF35_X1
CDC26	chr9	113255835	113275572	113275539	113275589	-	156.558473773044	7.299743536904531	CDC26_X1
C12orf43	chr12	121000486	121016502	121016452	121016502	-	176.45264447348598	7.471290263978351	C12orf43_X1
TLN2	chr15	62390526	62844631	62453591	62453641	+	0.0	0.0	TLN2_X1
KLRD1	chr12	10226058	10329608	10304445	10304495	+	0.0	0.0	KLRD1_X1
MTO1	chr6	73461578	73509236	73461794	73461844	+	3.5559628788229705	2.187755992270742	MTO1_X1
MCM4	chr8	47960185	47978160	47960935	47960985	+	1071.40200467888	10.06663010597843	MCM4_X1
OR10W1	chr11	58266792	58268260	58268210	58268260	-	0.0	0.0	OR10W1_X1
KRTAP19-8	chr21	31038159	31038476	31038426	31038476	-	0.0	0.0	KRTAP19-8_X1
POLR2H	chr3	184361710	184368596	184362442	184362492	+	0.480535524165267	0.5661191071464707	POLR2H_X1
KCTD13	chr16	29905012	29926236	29926186	29926236	-	39.980555610550205	5.356867639293905	KCTD13_X1
INHBB	chr2	120346136	120351803	120346142	120346192	+	0.0	0.0	INHBB_X1
CMPK2	chr2	6840570	6866635	6866461	6866511	-	0.0	0.0	CMPK2_X1
WDFY2	chr13	51584455	51767709	51739147	51739175	+	0.0	0.0	WDFY2_X1
CFAP410	chr21	44328944	44339402	44338288	44338338	-	0.0	0.0	CFAP410_X1
GLRX3	chr10	130136391	130184521	130180184	130180234	+	0.0	0.0	GLRX3_X1
RWDD4	chr4	183639635	183659203	183659175	183659225	-	25.18006146626	4.710396579373128	RWDD4_X1
RRAD	chr16	66921679	66925536	66924924	66924974	-	0.0	0.0	RRAD_X1
SUZ12	chr17	31937007	32001038	31937017	31937067	+	182.939874049717	7.523090447437306	SUZ12_X1
ILDR1	chr3	121987323	122022247	122022148	122022198	-	9.80292469297144	3.4333500432785704	ILDR1_X1
IMMP2L	chr7	110662644	111562517	111561874	111561924	-	1.05717815316359	1.0406667377404435	IMMP2L_X1
EARS2	chr16	23520754	23557731	23557004	23557054	-	18.6447783376123	4.296073984087288	EARS2_X1
SNTG1	chr8	49909789	50796692	49910948	49910998	+	0.0	0.0	SNTG1_X1
CCL26	chr7	75769533	75789896	75772207	75772257	-	0.0	0.0	CCL26_X1
CCPG1	chr15	55340032	55408510	55398219	55398268	-	0.0	0.0	CCPG1_X1
NUDT2	chr9	34329506	34343711	34329505	34329555	+	39.0194845622196	5.322630680813714	NUDT2_X1
KCTD7	chr7	66628881	66649067	66628942	66628992	+	4.90146234648572	2.561072489832702	KCTD7_X1
KRTAP20-3	chr21	30642864	30643136	30642863	30642913	+	0.0	0.0	KRTAP20-3_X1
KATNAL1	chr13	30202630	30307551	30306806	30306856	-	21.5279914826039	4.493646788520334	KATNAL1_X1
SLC12A7	chr5	1050378	1111210	1075384	1075434	-	0.0	0.0	SLC12A7_X1
P2RX1	chr17	3896592	3916476	3916450	3916500	-	0.0	0.0	P2RX1_X1
RMDN2	chr2	37923187	38067142	37925318	37925368	+	1.05717815316359	1.0406667377404435	RMDN2_X1
CPA2	chr7	130266863	130289798	130266864	130266914	+	0.0	0.0	CPA2_X1
DLX5	chr7	97020396	97024950	97024900	97024950	-	0.0	0.0	DLX5_X1
AARD	chr8	116938207	116944487	116938198	116938248	+	0.480535524165267	0.5661191071464707	AARD_X1
LGSN	chr6	63275951	63319983	63319913	63319943	-	0.0	0.0	LGSN_X1
AKR1B15	chr7	134549110	134579875	134549135	134549185	+	1.05717815316359	1.0406667377404435	AKR1B15_X1
ZNF746	chr7	149472696	149497817	149497767	149497817	-	4.51703392715351	2.463892852391547	ZNF746_X1
OR8K3	chr11	56315144	56320639	56318306	56318356	+	0.0	0.0	OR8K3_X1
RFPL4B	chr6	112347330	112351294	112347329	112347379	+	0.480535524165267	0.5661191071464707	RFPL4B_X1
TIFAB	chr5	135444226	135452351	135452349	135452399	-	0.0	0.0	TIFAB_X1
QPCT	chr2	37342827	37373322	37367122	37367172	+	0.0	0.0	QPCT_X1
EXOSC3	chr9	37759234	37832117	37784720	37784745	-	0.0	0.0	EXOSC3_X1
DNMBP	chr10	99875577	100009947	99914032	99914082	-	0.0	0.0	DNMBP_X1
SPDYE5	chr7	75492320	75504316	75493624	75493674	+	0.0	0.0	SPDYE5_X1
ANKLE2	chr12	132725503	132761832	132735073	132735123	-	0.0	0.0	ANKLE2_X1
OR1J4	chr9	122519141	122520082	122519140	122519190	+	0.0	0.0	OR1J4_X1
ANAPC5	chr12	121308245	121399896	121335559	121335609	-	3.5559628788229705	2.187755992270742	ANAPC5_X1
C18orf32	chr18	49477243	49487252	49487206	49487252	-	53.6277644968437	5.771562480484003	C18orf32_X1
KMT5B	chr11	68154863	68213828	68213267	68213317	-	51.70562240018271	5.719884965216678	KMT5B_X1
ZSCAN29	chr15	43358172	43371043	43370975	43371025	-	2.1143563063271698	1.6389340092740403	ZSCAN29_X1
MAP2K5	chr15	67542703	67807117	67640552	67640602	+	0.0	0.0	MAP2K5_X1
PCDHA13	chr5	140882124	141012347	140882268	140882318	+	0.0	0.0	PCDHA13_X1
FRG2B	chr10	133623895	133626795	133626745	133626795	-	0.0	0.0	FRG2B_X1
HAPLN1	chr5	83637805	83720855	83682488	83682538	-	0.0	0.0	HAPLN1_X1
SPO11	chr20	57329803	57343994	57329812	57329862	+	0.0	0.0	SPO11_X1
HSPA5	chr9	125234853	125241382	125241280	125241330	-	123.113201291141	6.9555127655519655	HSPA5_X1
BPGM	chr7	134646811	134679816	134646807	134646857	+	180.34498221922505	7.502593016540915	BPGM_X1
SOGA3	chr6	127472794	127519191	127518870	127518920	-	0.0	0.0	SOGA3_X1
HOXB6	chr17	48595751	48604992	48604942	48604992	-	0.0	0.0	HOXB6_X1
CXXC4	chr4	104468308	104494901	104494851	104494901	-	37.0973424655586	5.251618458866328	CXXC4_X1
CABLES1	chr18	23134564	23260470	23136458	23136508	+	0.0	0.0	CABLES1_X1
CABS1	chr4	70334981	70337116	70334965	70335015	+	0.0	0.0	CABS1_X1
MAML2	chr11	95976598	96343195	96093470	96093520	-	0.0	0.0	MAML2_X1
FBXL16	chr16	692498	705808	695215	695263	-	0.0	0.0	FBXL16_X1
OR2C1	chr16	3355889	3357306	3355888	3355938	+	0.0	0.0	OR2C1_X1
SLC46A2	chr9	112878920	112890876	112890760	112890810	-	0.0	0.0	SLC46A2_X1
MYNN	chr3	169773396	169789716	169774264	169774314	+	0.0	0.0	MYNN_X1
PCNT	chr21	46324141	46445769	46348238	46348288	+	0.0	0.0	PCNT_X1
TRIM39	chr6	30316726	30333982	30328888	30328938	+	0.480535524165267	0.5661191071464707	TRIM39_X1
RELCH	chr18	62187255	62310249	62261610	62261658	+	0.0	0.0	RELCH_X1
MTFMT	chr15	65001512	65029639	65026881	65026931	-	2.1143563063271698	1.6389340092740403	MTFMT_X1
CREB1	chr2	207529737	207605988	207529939	207529989	+	67.8035624597191	6.104411360540202	CREB1_X1
APOBEC3A	chr22	38952741	38992778	38952740	38952790	+	0.0	0.0	APOBEC3A_X1
SPDYE21	chr7	67276941	67289005	67279777	67279827	+	0.0	0.0	SPDYE21_X1
TMEM126B	chr11	85628573	85636539	85628584	85628634	+	170.638164631086	7.423226568964877	TMEM126B_X1
COIL	chr17	56938199	56961050	56961004	56961054	-	52.5705863436802	5.7433691816951535	COIL_X1
ECD	chr10	73130155	73169055	73167898	73167948	-	2.1143563063271698	1.6389340092740403	ECD_X1
TMEM184A	chr7	1542235	1560821	1556070	1556120	-	0.0	0.0	TMEM184A_X1
DNAJC3	chr13	95677139	95794988	95677138	95677188	+	81.5949320032623	6.367981355974287	DNAJC3_X1
CPEB2	chr4	15002481	15070153	15002673	15002723	+	0.0	0.0	CPEB2_X1
MYOF	chr10	93306429	93482334	93482144	93482194	-	0.0	0.0	MYOF_X1
MEIS1	chr2	66433452	66573869	66437392	66437442	+	0.0	0.0	MEIS1_X1
GCLC	chr6	53497341	53616970	53544983	53545033	-	27.294417772587103	4.822445545605675	GCLC_X1
NDUFAF5	chr20	13785007	13821580	13785049	13785099	+	11.773120342049	3.675039098557241	NDUFAF5_X1
C16orf91	chr16	1419752	1420756	1420706	1420756	-	61.6046541979872	5.968198009852908	C16orf91_X1
SF3B6	chr2	24067586	24076373	24076323	24076373	-	203.747062246073	7.677698941697528	SF3B6_X1
SLCO1B1	chr12	21131194	21239796	21131201	21131236	+	0.0	0.0	SLCO1B1_X1
CMAS	chr12	22046218	22065674	22046224	22046274	+	78.5195046486046	6.313236864825445	CMAS_X1
SORL1	chr11	121452314	121633763	121590418	121590468	+	13.0705662572953	3.814608484595648	SORL1_X1
TMPRSS11E	chr4	68447498	68497649	68461820	68461870	+	0.0	0.0	TMPRSS11E_X1
PDE1B	chr12	54549601	54579239	54561443	54561493	+	1.05717815316359	1.0406667377404435	PDE1B_X1
MAP2	chr2	209424047	209734118	209579608	209579658	+	0.0	0.0	MAP2_X1
STOML3	chr13	38965925	38990859	38990809	38990859	-	0.0	0.0	STOML3_X1
PSAP	chr10	71816298	71851251	71819221	71819271	-	0.480535524165267	0.5661191071464707	PSAP_X1
BYSL	chr6	41921499	41933046	41921549	41921599	+	7.400247072145111	3.070431761762398	BYSL_X1
MPP7	chr10	28050993	28334486	28280099	28280142	-	0.0	0.0	MPP7_X1
PRTG	chr15	55611544	55743152	55743040	55743090	-	0.0	0.0	PRTG_X1
FAM114A1	chr4	38867677	38945739	38867750	38867800	+	1.05717815316359	1.0406667377404435	FAM114A1_X1
OR8H2	chr11	56103687	56107658	56105017	56105067	+	0.0	0.0	OR8H2_X1
CCL23	chr17	36013056	36017972	36017918	36017968	-	6.24696181414847	2.857376292462053	CCL23_X1
UBE2E2	chr3	23203020	23591794	23203019	23203069	+	5.38199787065099	2.67400812726314	UBE2E2_X1
GLT8D2	chr12	103988987	104064183	104029726	104029776	-	0.0	0.0	GLT8D2_X1
DGCR6L	chr22	20314238	20320080	20320030	20320080	-	134.021357689693	7.077043820724194	DGCR6L_X1
SLC30A4	chr15	45479606	45522755	45522757	45522807	-	0.0	0.0	SLC30A4_X1
THAP2	chr12	71664301	71680644	71664480	71664530	+	0.480535524165267	0.5661191071464707	THAP2_X1
OLFML1	chr11	7485388	7511377	7485525	7485575	+	0.0	0.0	OLFML1_X1
ZG16B	chr16	2830253	2839585	2830294	2830328	+	0.0	0.0	ZG16B_X1
RRP9	chr3	51933429	51941904	51941891	51941941	-	123.785951024973	6.963311707889051	RRP9_X1
ZFYVE19	chr15	40807086	40815084	40807733	40807783	+	33.349165377069504	5.10220313946228	ZFYVE19_X1
CYSTM1	chr5	140175156	140282052	140175155	140175205	+	493.50998331772905	8.949855836618754	CYSTM1_X1
USP17L26	chr4	9334658	9336250	9334657	9334707	+	0.0	0.0	USP17L26_X1
C9orf116	chr9	135495181	135501734	135500468	135500518	-	0.0	0.0	C9orf116_X1
PRDM9	chr5	23443586	23528093	23507614	23507664	+	0.0	0.0	PRDM9_X1
MS4A3	chr11	60056587	60071115	60061160	60061210	+	0.0	0.0	MS4A3_X1
KCNJ15	chr21	38155549	38307357	38256874	38256924	+	0.0	0.0	KCNJ15_X1
SNRNP27	chr2	69893956	69905575	69904253	69904303	+	1.05717815316359	1.0406667377404435	SNRNP27_X1
CFAP298	chr21	32592079	32612603	32604150	32604200	-	0.0	0.0	CFAP298_X1
NDRG3	chr20	36651766	36746090	36721737	36721787	-	0.0	0.0	NDRG3_X1
TMEFF1	chr9	100473149	100577636	100473112	100473162	+	0.0	0.0	TMEFF1_X1
OR51S1	chr11	4848237	4849208	4849158	4849208	-	0.0	0.0	OR51S1_X1
COL1A1	chr17	50184101	50201632	50190874	50190924	-	1.05717815316359	1.0406667377404435	COL1A1_X1
TIMM23B-AGAP6	chr10	49942056	50011654	49972762	49972812	+	0.0	0.0	TIMM23B-AGAP6_X1
ZNF621	chr3	40524878	40574685	40524982	40525032	+	2.59489183049244	1.84594836093997	ZNF621_X1
ZNF609	chr15	64460578	64686068	64460741	64460791	+	3.07542735465771	2.026951350170348	ZNF609_X1
CCDC89	chr11	85683848	85686195	85686227	85686277	-	0.0	0.0	CCDC89_X1
RAB11FIP4	chr17	31391675	31538211	31487999	31488049	+	4.03649840298824	2.3324210566750163	RAB11FIP4_X1
ACCSL	chr11	44047981	44059977	44047980	44048030	+	0.0	0.0	ACCSL_X1
TAS2R46	chr12	11061365	11062294	11062244	11062294	-	0.0	0.0	TAS2R46_X1
PJA2	chr5	109334713	109409974	109409944	109409994	-	109.946527929013	6.793720708882661	PJA2_X1
TRIM22	chr11	5689697	5737089	5696491	5696541	+	3.5559628788229705	2.187755992270742	TRIM22_X1
BOP1	chr8	144262045	144291438	144291317	144291367	-	1.05717815316359	1.0406667377404435	BOP1_X1
VSIR	chr10	71747556	71773520	71757580	71757630	-	0.0	0.0	VSIR_X1
VPS39	chr15	42158701	42208307	42179053	42179103	-	0.0	0.0	VPS39_X1
IP6K3	chr6	33721662	33746905	33746855	33746905	-	0.0	0.0	IP6K3_X1
TIPIN	chr15	66336191	66386746	66386674	66386724	-	16.9148504506174	4.163084095173205	TIPIN_X1
AQP3	chr9	33441156	33447596	33447561	33447611	-	0.0	0.0	AQP3_X1
MMP15	chr16	58025754	58046901	58040164	58040182	+	0.0	0.0	MMP15_X1
GADD45G	chr9	89605012	89606555	89605037	89605087	+	0.0	0.0	GADD45G_X1
NPEPL1	chr20	58689131	58719238	58712820	58712870	+	0.0	0.0	NPEPL1_X1
CRELD1	chr3	9933793	9945413	9933821	9933852	+	34.8868790543983	5.165384557787171	CRELD1_X1
BZW2	chr7	16646131	16706523	16646159	16646209	+	5.86253339481625	2.7787412646524183	BZW2_X1
NLRC3	chr16	3539033	3577403	3577350	3577400	-	2.59489183049244	1.84594836093997	NLRC3_X1
HSPB3	chr5	54455699	54456377	54455600	54455650	+	0.0	0.0	HSPB3_X1
CAVIN3	chr11	6318946	6320532	6320482	6320532	-	0.0	0.0	CAVIN3_X1
NSD2	chr4	1871393	1982207	1871423	1871473	+	7.400247072145111	3.070431761762398	NSD2_X1
PCDHGB7	chr5	141417645	141512975	141417644	141417694	+	1.63382078216191	1.3971571810223802	PCDHGB7_X1
PDLIM1	chr10	95237572	95291012	95290974	95291024	-	572.798344804998	9.164399996248216	PDLIM1_X1
GABRR1	chr6	89177504	89231278	89221399	89221449	-	0.0	0.0	GABRR1_X1
TBL1XR1	chr3	177019340	177228000	177197202	177197252	-	5.38199787065099	2.67400812726314	TBL1XR1_X1
P2RX4	chr12	121210065	121234106	121212865	121212915	+	0.0	0.0	P2RX4_X1
CYP2R1	chr11	14877440	14892231	14892202	14892252	-	0.0	0.0	CYP2R1_X1
L3MBTL4	chr18	5954706	6415237	6326671	6326721	-	0.0	0.0	L3MBTL4_X1
ING1	chr13	110712736	110723339	110713459	110713509	+	0.0	0.0	ING1_X1
PCDHA4	chr5	140806929	141012347	140806928	140806945	+	0.0	0.0	PCDHA4_X1
MAGI2	chr7	78017055	79453667	78627193	78627243	-	0.0	0.0	MAGI2_X1
USP54	chr10	73497538	73626117	73575608	73575658	-	0.0	0.0	USP54_X1
TUBG1	chr17	42609641	42615238	42609685	42609735	+	280.34442479801703	8.136193564593878	TUBG1_X1
SOCS1	chr16	11254417	11256204	11256129	11256179	-	0.0	0.0	SOCS1_X1
FAM25G	chr10	47487219	47491700	47490357	47490407	-	0.0	0.0	FAM25G_X1
ADCY1	chr7	45574140	45723116	45574884	45574934	+	0.0	0.0	ADCY1_X1
FOXR1	chr11	118971712	118981287	118978778	118978828	+	0.0	0.0	FOXR1_X1
MFSD6L	chr17	8797110	8799365	8799299	8799349	-	0.0	0.0	MFSD6L_X1
LYSMD4	chr15	99715697	99733561	99733371	99733421	-	3.5559628788229705	2.187755992270742	LYSMD4_X1
TTC21B	chr2	165857475	165953851	165953793	165953843	-	66.8905449638051	6.085138760908913	TTC21B_X1
NEB	chr2	151485336	151734487	151540697	151540747	-	0.0	0.0	NEB_X1
PNO1	chr2	68157888	68176238	68173106	68173156	+	0.0	0.0	PNO1_X1
NUP160	chr11	47778087	47848555	47848284	47848334	-	73.7141494069519	6.223309582161312	NUP160_X1
LUC7L2	chr7	139340359	139423457	139359907	139359957	+	70.63872205229421	6.162667696515227	LUC7L2_X1
RBP1	chr3	139517434	139539829	139518585	139518635	-	0.0	0.0	RBP1_X1
BCL2L1	chr20	31664452	31723989	31722547	31722597	-	22.2968483212684	4.542062890160752	BCL2L1_X1
NBN	chr8	89933331	90003228	89937297	89937347	-	0.0	0.0	NBN_X1
PRSS3	chr9	33750679	33799231	33798517	33798567	+	0.0	0.0	PRSS3_X1
ZNF624	chr17	16620734	16653856	16624737	16624787	-	0.0	0.0	ZNF624_X1
EEF1A1	chr6	73489308	73525587	73520968	73521018	-	5.86253339481625	2.7787412646524183	EEF1A1_X1
RBM19	chr12	113816738	113966325	113966321	113966371	-	69.0049012701323	6.129384028238895	RBM19_X1
GBA2	chr9	35736866	35749228	35741979	35742029	-	0.480535524165267	0.5661191071464707	GBA2_X1
TAF10	chr11	6606294	6612539	6611898	6611948	-	0.0	0.0	TAF10_X1
MMP20	chr11	102576832	102625332	102583557	102583607	-	0.0	0.0	MMP20_X1
DYNLRB1	chr20	34516414	34540958	34516408	34516458	+	164.919791893519	7.374342179525625	DYNLRB1_X1
TRIM29	chr11	120111286	120185529	120185373	120185423	-	0.0	0.0	TRIM29_X1
CNP	chr17	41966763	41977740	41966794	41966844	+	13.4549946766275	3.853496172397965	CNP_X1
DOC2B	chr17	142789	181650	181120	181170	-	0.0	0.0	DOC2B_X1
MSL1	chr17	40121971	40136917	40122613	40122663	+	0.480535524165267	0.5661191071464707	MSL1_X1
OR9G4	chr11	56741223	56748697	56743761	56743811	-	0.0	0.0	OR9G4_X1
TBP	chr6	170554302	170572870	170554332	170554382	+	89.6679288092387	6.502520423700018	TBP_X1
PSMB6	chr17	4796144	4798502	4796160	4796210	+	3070.23757099672	11.584604398813164	PSMB6_X1
UBA6	chr4	67612652	67701155	67701129	67701179	-	40.845519554047705	5.387001254982136	UBA6_X1
HAUS2	chr15	42548828	42569994	42548827	42548877	+	327.004424194464	8.357571464131397	HAUS2_X1
ZNF7	chr8	144827518	144847509	144827576	144827609	+	4.51703392715351	2.463892852391547	ZNF7_X1
GDPD3	chr16	30104810	30113537	30108448	30108498	-	0.0	0.0	GDPD3_X1
MRPS28	chr8	79918717	80030289	80030239	80030289	-	151.176475902393	7.249601547814785	MRPS28_X1
PPP1R1C	chr2	181954241	182131398	181954495	181954545	+	0.480535524165267	0.5661191071464707	PPP1R1C_X1
C6orf141	chr6	49550666	49561907	49550665	49550715	+	0.0	0.0	C6orf141_X1
TPCN1	chr12	113221050	113298585	113284624	113284637	+	0.0	0.0	TPCN1_X1
CFAP298-TCP10L	chr21	32402511	32612865	32612104	32612146	-	1.63382078216191	1.3971571810223802	CFAP298-TCP10L_X1
DLD	chr7	107891162	107931730	107891161	107891211	+	247.908276916861	7.959470394655223	DLD_X1
RNMT	chr18	13726660	13764556	13726666	13726716	+	238.970316167387	7.906712148247432	RNMT_X1
SLC25A18	chr22	17563450	17590995	17563588	17563638	+	0.0	0.0	SLC25A18_X1
MRPS6	chr21	34073224	34143034	34073223	34073268	+	2.59489183049244	1.84594836093997	MRPS6_X1
PAM	chr5	102753981	103029730	102755313	102755348	+	74.5791133504494	6.23991568873778	PAM_X1
PGM5	chr9	68328308	68531061	68356898	68356948	+	0.0	0.0	PGM5_X1
ABCB11	chr2	168915498	169031324	168970541	168970591	-	0.0	0.0	ABCB11_X1
CNOT7	chr8	17224966	17246878	17246559	17246609	-	4.51703392715351	2.463892852391547	CNOT7_X1
WIPF3	chr7	29806486	29917061	29806553	29806603	+	0.0	0.0	WIPF3_X1
PHYHIPL	chr10	59176643	59247774	59177257	59177307	+	0.0	0.0	PHYHIPL_X1
