gene_name	chr	gene_start	gene_end	TSS_start	TSS_end	strand
C11orf53	chr11	111245725	111286401	111255981	111256031	+
FLT3	chr13	28003274	28100592	28100542	28100592	-
GRIN3A	chr9	101569352	101738647	101613472	101613522	-
MTIF2	chr2	55236595	55269347	55269088	55269138	-
TMEM60	chr7	77793728	77798434	77798530	77798580	-
STT3B	chr3	31532638	31637616	31533624	31533674	+
MLH1	chr3	36993350	37050846	36993515	36993565	+
CD248	chr11	66314494	66317044	66316994	66317044	-
TSPAN13	chr7	16753755	16784536	16775753	16775803	+
ST6GALNAC2	chr17	76565377	76586956	76585807	76585857	-
LAT2	chr7	74199652	74229834	74209980	74210030	+
ITFG2	chr12	2812622	2859791	2817229	2817258	+
MMD	chr17	55392622	55421924	55421874	55421924	-
EEF1AKMT1	chr13	20728731	20773961	20773920	20773958	-
RAB14	chr9	121178133	121223014	121222964	121223014	-
DRICH1	chr22	23608452	23632321	23631973	23632023	-
OGN	chr9	92383268	92404696	92393102	92393152	-
OR1B1	chr9	122628579	122629573	122629523	122629573	-
CCDC14	chr3	123897305	123961408	123949263	123949313	-
CXCL5	chr4	73995642	73998677	73998729	73998779	-
CUX2	chr12	111034165	111350554	111214300	111214310	+
RGS22	chr8	99960936	100131268	100080224	100080274	-
SLC25A12	chr2	171783405	171999859	171893208	171893258	-
FOXS1	chr20	31844303	31845604	31845569	31845619	-
PCYT1A	chr3	196214222	196287957	196287676	196287726	-
BCKDHB	chr6	80106647	80346270	80203101	80203151	+
GPER1	chr7	1082208	1093815	1088086	1088136	+
DCUN1D1	chr3	182938074	182985953	182985903	182985953	-
PRPF19	chr11	60890547	60906585	60898419	60898469	-
RAD17	chr5	69369307	69415042	69384079	69384129	+
KLF15	chr3	126342635	126357408	126354235	126354285	-
COL5A2	chr2	189031898	189225312	189179829	189179879	-
H2AC14	chr6	27814302	27814777	27814690	27814740	-
SUN5	chr20	32983773	33004433	33004357	33004407	-
MOB1A	chr2	74152528	74178898	74178829	74178879	-
FRAS1	chr4	78057323	78544269	78057569	78057619	+
ELP1	chr9	108866898	108934328	108934066	108934116	-
P4HA2	chr5	132190147	132295315	132227807	132227857	-
CNTN1	chr12	40692439	41072415	40692441	40692491	+
KCNE4	chr2	223052190	223198399	223052199	223052249	+
SETD2	chr3	47016428	47164113	47163917	47163967	-
GPHA2	chr11	64934471	64935893	64935473	64935523	-
ZNF322	chr6	26634383	26659752	26659702	26659752	-
NR4A3	chr9	99821855	99866891	99821854	99821904	+
SEPTIN4	chr17	58520250	58544368	58527980	58528030	-
CGAS	chr6	73413515	73452297	73452226	73452276	-
TTC31	chr2	74483073	74494559	74483072	74483122	+
TMEM98	chr17	32927910	32945106	32928044	32928094	+
KIF3A	chr5	132692628	132737638	132737522	132737572	-
EFCAB13	chr17	47323290	47441312	47369615	47369665	+
ARL17B	chr17	45699087	45820912	46361747	46361797	-
ATXN7L3B	chr12	74537835	74545430	74537826	74537876	+
CAPN11	chr6	44158811	44184401	44176550	44176600	+
CES3	chr16	66961245	66975149	66961244	66961294	+
OR6Q1	chr11	58030953	58031906	58030929	58030979	+
AFF1	chr4	86935002	87141039	86936409	86936459	+
CFAP161	chr15	81007033	81149179	81099407	81099457	+
NACA2	chr17	61590421	61591219	61591152	61591202	-
SLC36A2	chr5	151314972	151347590	151347540	151347590	-
CTNND2	chr5	10971836	11904446	11018010	11018060	-
FAM120AOS	chr9	93431441	93453581	93451158	93451208	-
OR2A14	chr7	144123176	144131188	144129057	144129107	+
CAB39L	chr13	49308650	49444064	49351077	49351127	-
TNFRSF11A	chr18	62325287	62391288	62357902	62357952	+
TDRD15	chr2	21123968	21144368	21137467	21137517	+
PDZD8	chr10	117277274	117375440	117314185	117314235	-
CD163	chr12	7470811	7503893	7503726	7503776	-
CAV1	chr7	116524994	116561179	116525000	116525050	+
SPARCL1	chr4	87473335	87531061	87531011	87531061	-
SMAD6	chr15	66702236	66782849	66703076	66703126	+
STARD6	chr18	54324358	54357964	54357810	54357860	-
GPC1	chr2	240435663	240468076	240442326	240442376	+
ASCC3	chr6	100508194	100881372	100881322	100881372	-
PERP	chr6	138088505	138107419	138107461	138107511	-
PCDHB2	chr5	141094606	141098703	141094577	141094627	+
ARNTL	chr11	13276652	13387266	13277792	13277842	+
ABCA9	chr17	68974488	69060949	68992632	68992682	-
EFCC1	chr3	129001304	129040742	129030448	129030498	+
PCDH9	chr13	66302834	67230445	66306259	66306309	-
CFAP65	chr2	219002846	219041527	219039007	219039057	-
MSMO1	chr4	165327667	165343164	165327926	165327976	+
PLA2G4B	chr15	41837775	41848147	41845880	41845930	+
SOX9	chr17	72121020	72126416	72121019	72121069	+
PLCG2	chr16	81739097	81962685	81798465	81798515	+
NDUFA5	chr7	123536997	123557904	123557854	123557904	-
GTPBP1	chr22	38705742	38738299	38705948	38705998	+
CFAP97	chr4	185159665	185209504	185203951	185204001	-
RPL35	chr9	124857880	124861981	124861931	124861981	-
RHOQ	chr2	46541806	46584688	46543399	46543449	+
PLAT	chr8	42174718	42207709	42207515	42207565	-
KIF23	chr15	69414246	69448427	69446299	69446349	+
CD3G	chr11	118344344	118355161	118344385	118344435	+
LRRC45	chr17	82023305	82031151	82023320	82023370	+
DNAAF4	chr15	55410525	55508234	55508184	55508234	-
SMAD5	chr5	136132845	136188747	136132844	136132894	+
ANKMY1	chr2	240479422	240569209	240561060	240561110	-
AGTPBP1	chr9	85546539	85742029	85741979	85742029	-
TMEM270	chr7	73861159	73865890	73861158	73861208	+
RCOR2	chr11	63911230	63917164	63912257	63912307	-
MCMBP	chr10	119829404	119892556	119872799	119872849	-
SLC25A35	chr17	8287763	8295400	8288985	8289035	-
BMP2	chr20	6767686	6780246	6767663	6767713	+
AMIGO3	chr3	49716829	49719684	49719645	49719695	-
FMC1	chr7	139339457	139346328	139339456	139339506	+
LETMD1	chr12	51047962	51060424	51048312	51048362	+
CNTN6	chr3	1092658	1404217	1401284	1401334	+
MESP2	chr15	89760591	89778754	89776357	89776407	+
CD226	chr18	69831158	69961803	69956946	69956996	-
CCDC126	chr7	23597382	23644708	23597514	23597564	+
DOP1A	chr6	83067666	83171350	83067665	83067715	+
ZC3H12D	chr6	149446795	149485014	149456819	149456869	-
MTPN	chr7	135926760	135977359	135977303	135977353	-
LTK	chr15	41503637	41513887	41513837	41513887	-
SLC16A11	chr17	7041621	7044092	7043873	7043923	-
SLC12A6	chr15	34229784	34338060	34238346	34238396	-
GAA	chr17	80101556	80119881	80101555	80101605	+
DIDO1	chr20	62877738	62937952	62937902	62937952	-
OR2A2	chr7	144109583	144110539	144109513	144109563	+
PAAF1	chr11	73876699	73931114	73876979	73877029	+
EMC2	chr8	108443601	108489196	108464046	108464096	+
DEFB136	chr8	7978152	7978814	11974549	11974599	-
REC114	chr15	73443164	73560013	73443157	73443207	+
RETSAT	chr2	85341955	85354531	85350841	85350891	-
PIK3R1	chr5	68215756	68301821	68288694	68288744	+
KLHL38	chr8	123644442	123653801	123652900	123652950	-
TXNDC5	chr6	7881517	7910788	7910764	7910814	-
TRUB1	chr10	114938195	114977676	114938385	114938435	+
GRIN1	chr9	137139154	137168756	137162705	137162739	+
KIAA1586	chr6	57046532	57055239	57046531	57046581	+
PHLDA1	chr12	76025447	76031776	76031726	76031776	-
LVRN	chr5	115962454	116027619	115962453	115962503	+
MBD6	chr12	57520710	57530148	57524318	57524368	+
ICA1L	chr2	202773150	202871766	202870864	202870914	-
ZBTB21	chr21	41986831	42010387	42010337	42010387	-
FTCDNL1	chr2	199760544	199851192	199850823	199850873	-
BSN	chr3	49554477	49671549	49643028	49643078	+
ABTB1	chr3	127672935	127680926	127672939	127672989	+
SEPTIN12	chr16	4777606	4788398	4785806	4785836	-
TGFBR1	chr9	99104038	99154192	99127915	99127965	+
PEX5	chr12	7188685	7218574	7210129	7210179	+
CLDN15	chr7	101232092	101238820	101238770	101238820	-
FZD8	chr10	35638247	35642296	35642228	35642278	-
ROPN1B	chr3	125969160	125983454	125969193	125969243	+
PCSK1	chr5	96390333	96434143	96434093	96434143	-
C11orf24	chr11	68261338	68272001	68271921	68271971	-
RGS9	chr17	65100812	65227703	65137523	65137573	+
CORIN	chr4	47593999	47838106	47837899	47837949	-
TF	chr3	133746040	133796641	133768031	133768081	+
NELFB	chr9	137255327	137273542	137255306	137255356	+
PARP3	chr3	51942345	51948867	51942344	51942394	+
CLMP	chr11	123069872	123195248	123083686	123083736	-
SPG21	chr15	64963022	64990310	64987426	64987476	-
FCN1	chr9	134903232	134917912	134917913	134917963	-
MEIOB	chr16	1833986	1884294	1872128	1872178	-
FOSL1	chr11	65892049	65900573	65900369	65900419	-
TTC33	chr5	40512333	40755963	40755925	40755975	-
BBS12	chr4	122732702	122744942	122732701	122732751	+
IGFBP2	chr2	216632828	216664436	216659617	216659667	+
HOXC5	chr12	54033050	54035361	54032852	54032902	+
MYH11	chr16	15703135	15857028	15725088	15725138	-
ZNF654	chr3	88059255	88144660	88139103	88139153	+
NDRG1	chr8	133237175	133302022	133297206	133297256	-
SPTLC1	chr9	92000087	92115413	92115334	92115384	-
SLC5A7	chr2	107986523	108013994	107986522	107986572	+
EVA1A	chr2	75469302	75569722	75561273	75561323	-
TEX55	chr3	119146151	119160042	119146149	119146199	+
ANGPTL2	chr9	127087348	127122635	127122833	127122883	-
OR51B5	chr11	5303444	5505652	5505602	5505652	-
KLHL32	chr6	96924620	97140754	96924619	96924669	+
TREH	chr11	118657316	118679690	118679596	118679646	-
SPATS1	chr6	44342650	44380179	44342659	44342709	+
TBC1D13	chr9	128787253	128810430	128787332	128787376	+
IL18	chr11	112143253	112164096	112164024	112164074	-
TMIGD1	chr17	30316333	30334059	30334009	30334059	-
WWP1	chr8	86342547	86478420	86417222	86417272	+
SNX8	chr7	2251770	2354318	2271849	2271896	-
CHMP1A	chr16	89640816	89657738	89657671	89657721	-
EBAG9	chr8	109539711	109565996	109550824	109550874	+
CERS6	chr2	168456249	168775134	168456248	168456298	+
USP17L2	chr8	12179565	12181474	12139027	12139077	-
HDC	chr15	50241947	50265965	50263379	50263429	-
MYC	chr8	127735434	127742951	127735433	127735483	+
ZDHHC11B	chr5	710355	784729	751184	751234	-
GUCY1A2	chr11	106674019	107018476	107018101	107018151	-
PFKM	chr12	48105139	48146404	48119342	48119392	+
FER1L5	chr2	96642737	96704887	96670217	96670247	+
OXNAD1	chr3	16265160	16350299	16265198	16265248	+
GPR83	chr11	94377316	94401419	94401369	94401419	-
KLRC3	chr12	10412315	10420595	10420545	10420595	-
BAIAP3	chr16	1333638	1349441	1334503	1334553	+
COX7B2	chr4	46734827	46909245	46909181	46909231	-
USP17L27	chr4	9344148	9345740	9344147	9344197	+
ID2	chr2	8678845	8684461	8678844	8678894	+
NPIPB15	chr16	74376306	74392115	74381308	74381358	+
ATP5MC3	chr2	175176258	175181710	175181660	175181710	-
LGI1	chr10	93757840	93806272	93788655	93788705	+
TSGA10	chr2	98997261	99154964	99127126	99127176	-
GAPDH	chr12	6534512	6538374	6534791	6534841	+
KLHL3	chr5	137617500	137736089	137706386	137706436	-
MIEF1	chr22	39499432	39518132	39501730	39501780	+
UBE2E3	chr2	180967248	181076585	180981035	180981085	+
WFDC11	chr20	45648563	45670270	45670220	45670270	-
ANKRD34C	chr15	79282722	79298239	79293284	79293334	+
ANKEF1	chr20	9986126	10058303	10035116	10035166	+
AASDH	chr4	56338287	56387508	56387458	56387508	-
HMGN1	chr21	39342315	39349647	39349049	39349099	-
BTN2A2	chr6	26383096	26394874	26383095	26383145	+
CLEC1B	chr12	9985642	10013424	9999250	9999300	-
NDEL1	chr17	8413131	8490411	8435893	8435943	+
STX7	chr6	132445867	132513198	132513085	132513135	-
BBS2	chr16	56465640	56582667	56520037	56520087	-
OR5K1	chr3	98463201	98472924	98469479	98469529	+
ZPBP	chr7	49850421	50121329	50093214	50093264	-
SNX18	chr5	54517759	54546586	54517758	54517808	+
CSNK2B	chr6	31655467	31663777	31666354	31666404	+
SHISA6	chr17	11241213	11564063	11241262	11241312	+
TAGAP	chr6	159034468	159045152	159044968	159045018	-
RING1	chr6	33362379	33366606	33209559	33209609	+
OLFM4	chr13	53028813	53052057	53028758	53028808	+
MRPL53	chr2	74471982	74472687	74472637	74472687	-
PSKH1	chr16	67893254	67929676	67893271	67893321	+
KRT23	chr17	40922700	40937646	40937534	40937584	-
NAXD	chr13	110615545	110639996	110615590	110615640	+
FNDC3B	chr3	172039578	172401669	172046912	172046947	+
DIP2A	chr21	46458891	46570015	46561284	46561334	+
BEND4	chr4	42110853	42152878	42152828	42152878	-
TRIP12	chr2	229763837	229923239	229806099	229806149	-
CDK20	chr9	87966441	87974753	87974481	87974531	-
UBQLN3	chr11	5507300	5509958	5509908	5509958	-
HK2	chr2	74834127	74893359	74854332	74854382	+
USP40	chr2	233475520	233566782	233491289	233491339	-
MTHFD1L	chr6	150865679	151101887	150865678	150865728	+
SGK3	chr8	66712734	66862022	66775565	66775615	+
SNRPD3	chr22	24555958	24582052	24555957	24556007	+
RNF6	chr13	26132115	26222314	26222211	26222261	-
SNX31	chr8	100572889	100663415	100584110	100584160	-
LTA4H	chr12	96000753	96043520	96013202	96013252	-
DDX17	chr22	38483438	38507660	38506287	38506337	-
GALNT18	chr11	11270877	11622005	11621955	11622005	-
LIPG	chr18	49560699	49599185	49560698	49560748	+
TBPL1	chr6	133952170	133990432	133984375	133984425	+
BAAT	chr9	101354182	101385400	101371425	101371475	-
DDX47	chr12	12813316	12829981	12820276	12820321	+
RGPD8	chr2	112368369	112434488	112401510	112401560	-
DIP2B	chr12	50504985	50748657	50504984	50505034	+
FGF8	chr10	101770109	101780371	101775868	101775900	-
DENND6B	chr22	50309030	50327012	50327010	50327060	-
ETV7	chr6	36354091	36387800	36387750	36387800	-
HYAL3	chr3	50292831	50299405	50299351	50299401	-
MGAT4C	chr12	85955666	86838904	86838854	86838904	-
KCNA6	chr12	4809176	4813412	4809175	4809225	+
EIF2S2	chr20	34088309	34112243	34112282	34112332	-
TARS1	chr5	33440696	33468091	33466757	33466807	+
TTC23	chr15	99136323	99251223	99251173	99251223	-
ZNF37A	chr10	38094334	38150293	38094335	38094385	+
ADAMTS20	chr12	43353866	43552203	43439662	43439712	-
CDKN2AIPNL	chr5	134402065	134411881	134411848	134411898	-
CHRNA10	chr11	3665587	3671384	3671317	3671367	-
SPHK1	chr17	76376584	76387860	76386022	76386072	+
TTC36	chr11	118527472	118531197	118527471	118527521	+
PCDHB14	chr5	141223343	141227759	141223358	141223408	+
ANTXR2	chr4	79901146	80125454	80072650	80072700	-
WFDC12	chr20	45123425	45124465	45124415	45124465	-
ZNF668	chr16	31060843	31074240	31065038	31065088	-
TGFA	chr2	70447284	70554193	70553588	70553638	-
POTEF	chr2	130073535	130129222	130129172	130129222	-
ORMDL1	chr2	189770267	189784364	189773967	189774017	-
CIBAR1	chr8	93698561	93731527	93701533	93701583	+
PRR23C	chr3	139042102	139044892	139044842	139044892	-
NAMPT	chr7	106248298	106285966	106284901	106284951	-
SLA2	chr20	36612318	36646196	36646166	36646216	-
PRR23B	chr3	139019031	139020926	139020876	139020926	-
APBB2	chr4	40810027	41216714	41214568	41214618	-
TIMMDC1	chr3	119498547	119525090	119498546	119498596	+
CYP7B1	chr8	64587763	64798737	64798711	64798761	-
RICTOR	chr5	38937920	39074399	39074358	39074408	-
PTGES3L	chr17	42968088	42980433	42979627	42979664	-
CEP295	chr11	93661682	93730358	93691704	93691754	+
SLC15A1	chr13	98683801	98752672	98726517	98726567	-
MLIP	chr6	53929982	54266280	54111417	54111467	+
TAC3	chr12	57010000	57028883	57016488	57016538	-
SFI1	chr22	31488688	31618588	31496463	31496513	+
ZBTB12	chr6	31889987	31892374	31901942	31901992	-
CCL1	chr17	34360328	34363233	34363181	34363231	-
ALS2CL	chr3	46668995	46693704	46674648	46674698	-
SLC39A12	chr10	17951839	18043292	17951913	17951963	+
MITF	chr3	69739456	69968336	69762723	69762773	+
LRRIQ4	chr3	169812870	169837773	169821921	169821971	+
PHYHIP	chr8	22219703	22232101	22227647	22227693	-
URGCP	chr7	43875894	43926411	43906577	43906627	-
CTBP2	chr10	124984317	125161170	125159907	125159957	-
LTBR	chr12	6375045	6391571	6384169	6384219	+
CENPQ	chr6	49463370	49493107	49463377	49463427	+
ARL6IP1	chr16	18791669	18801572	18801522	18801572	-
PRSS58	chr7	142252163	142258078	142257977	142258027	-
RAB31	chr18	9708275	9862551	9849595	9849645	+
P2RX6	chr22	21009808	21028013	21015152	21015202	+
SNAPC3	chr9	15422734	15465953	15422868	15422918	+
ASB13	chr10	5638867	5666595	5641769	5641812	-
FAM8A1	chr6	17600302	17611719	17600354	17600404	+
AAK1	chr2	69457997	69674349	69509230	69509280	-
LRRN4	chr20	6040546	6054060	6053999	6054049	-
FXYD6	chr11	117836976	117877486	117876679	117876729	-
LTA	chr6	31562799	31565069	31572269	31572302	+
RAB38	chr11	88113251	88175443	88175417	88175467	-
PARM1	chr4	74933095	75050115	74933094	74933144	+
DES	chr2	219418377	219426735	219420121	219420155	+
CACNA1H	chr16	1153106	1221771	1195028	1195078	+
RPS2	chr16	1962058	1964841	1964810	1964860	-
IRAK2	chr3	10164919	10243745	10164864	10164914	+
ATP1B2	chr17	7646627	7657770	7646626	7646676	+
CFAP100	chr3	126394909	126436556	126416334	126416384	+
ENPP5	chr6	46159185	46170980	46170921	46170971	-
CCL24	chr7	75810825	75823356	75813756	75813806	-
PCK1	chr20	57561080	57568121	57562833	57562883	+
FRMD5	chr15	43870761	44195271	44195160	44195210	-
SLC4A11	chr20	3227417	3239559	3238116	3238166	-
PCID2	chr13	113177536	113208715	113208665	113208715	-
RANBP2	chr2	108719482	108785809	108719606	108719656	+
EFCAB3	chr17	62343941	62416480	62380552	62380602	+
SGPP2	chr2	222424543	222562621	222424516	222424566	+
SERINC5	chr5	80111651	80256048	80167130	80167180	-
CWH43	chr4	48986275	49062081	49003608	49003658	+
NCAPH2	chr22	50508224	50524780	50508215	50508265	+
EDAR	chr2	108894471	108989372	108989219	108989269	-
TAF6	chr7	100106876	100119841	100119316	100119366	-
AP1S3	chr2	223751686	223838027	223837552	223837602	-
AP4E1	chr15	50908672	51005895	50908794	50908844	+
ZNF33A	chr10	38010650	38065088	38010649	38010699	+
RETNLB	chr3	108743424	108757410	108756965	108757015	-
LDLRAD4	chr18	13217498	13652755	13218786	13218836	+
NSD3	chr8	38269704	38382272	38382222	38382272	-
SP140L	chr2	230327184	230403732	230370905	230370955	+
B4GALT6	chr18	31622246	31685836	31685786	31685836	-
GJD3	chr17	40360652	40364737	40363765	40363815	-
PTPRN	chr2	219289623	219309648	219309523	219309573	-
CCNB2	chr15	59105126	59125045	59105125	59105175	+
IFNK	chr9	27524290	27526498	27524313	27524363	+
ATP13A4	chr3	193398967	193593111	193412321	193412371	-
RAMP2	chr17	42758447	42763041	42760804	42760854	+
MCF2L	chr13	112894378	113099742	113090968	113091018	+
MC2R	chr18	13882044	13915707	13915490	13915540	-
PAK5	chr20	9537370	9839076	9838781	9838831	-
DDX58	chr9	32455302	32526208	32526158	32526208	-
ZNF778	chr16	89217703	89237141	89217702	89217752	+
BMP2K	chr4	78776342	78916365	78776341	78776391	+
NAT1	chr8	18170477	18223689	18170476	18170507	+
RAB30	chr11	82973133	83071923	82992333	82992383	-
CYC1	chr8	144095039	144097525	144095038	144095088	+
SGSM2	chr17	2337498	2381058	2361776	2361799	+
CTRB2	chr16	75204116	75209969	75205745	75205795	-
TNFRSF17	chr16	11965210	11968068	11965349	11965399	+
KRR1	chr12	75490863	75511636	75511586	75511636	-
TRIM37	chr17	58982638	59106921	59106871	59106921	-
USO1	chr4	75724577	75814286	75724597	75724647	+
MAPK14	chr6	36027677	36111236	36028157	36028207	+
LRP1	chr12	57128483	57213361	57164427	57164477	+
SLC2A10	chr20	46709649	46736347	46714466	46714516	+
ADAMTSL1	chr9	17906563	18910950	18826147	18826197	+
ZFP41	chr8	143246821	143262705	143246930	143246980	+
RFC2	chr7	74231499	74254458	74252444	74252494	-
P2RY14	chr3	151212117	151278542	151249064	151249114	-
FOXD4L1	chr2	113498665	113501155	113498664	113498714	+
PDIA2	chr16	283164	287215	283163	283213	+
IL21	chr4	122610108	122621066	122621007	122621057	-
FA2H	chr16	74712955	74774831	74774781	74774831	-
RBM48	chr7	92528773	92540481	92528772	92528822	+
ZDHHC1	chr16	67394152	67416833	67396237	67396287	-
APIP	chr11	34853094	34916379	34916301	34916351	-
SNRPD1	chr18	21612314	21633524	21612313	21612363	+
HRH4	chr18	24460637	24479961	24460728	24460778	+
TPRA1	chr3	127571232	127598267	127598201	127598251	-
PTX4	chr16	1485886	1488981	1488931	1488981	-
CDK14	chr7	90466424	91210590	90709250	90709300	+
TECTA	chr11	121101243	121191490	121101172	121101222	+
OR9A4	chr7	141916399	141920625	141918816	141918866	+
C4orf46	chr4	158666675	158672255	158672205	158672255	-
TARBP2	chr12	53500921	53506431	53501273	53501323	+
ERV3-1	chr7	64990356	65006743	65006693	65006743	-
ZNF213	chr16	3129777	3142804	3135137	3135187	+
HSF2BP	chr21	43529186	43659488	43659443	43659493	-
VIP	chr6	152750797	152759765	152750797	152750847	+
TUBB3	chr16	89921392	89938761	89923337	89923387	+
ZBTB47	chr3	42653697	42667580	42658813	42658847	+
GRN	chr17	44345246	44353106	44350288	44350338	+
CCL22	chr16	57358783	57366189	57358771	57358821	+
GPR149	chr3	154334943	154430190	154429665	154429715	-
RIN2	chr20	19757606	20002457	19935124	19935174	+
DACH1	chr13	71437966	71867204	71867142	71867192	-
ZCCHC2	chr18	62523025	62587709	62575297	62575347	+
OR8I2	chr11	56093308	56094240	56093307	56093357	+
FKBP14	chr7	30010587	30026702	30026634	30026684	-
SLC30A6	chr2	32165841	32224379	32165863	32165903	+
RSPO2	chr8	107899316	108083642	107997204	107997254	-
SLC38A1	chr12	46183063	46270017	46267651	46267701	-
C22orf23	chr22	37943050	37953669	37953597	37953647	-
UPB1	chr22	24494107	24528390	24520173	24520223	+
MACROH2A1	chr5	135334381	135399914	135399164	135399214	-
DUOXA2	chr15	45114326	45118421	45114473	45114523	+
NIFK	chr2	121726945	121736911	121736861	121736911	-
BORCS7	chr10	102854259	102864961	102854261	102854311	+
DOK3	chr5	177501904	177511274	177509807	177509857	-
GPSM1	chr9	136327476	136359605	136353056	136353106	+
TMEM106C	chr12	47963569	47968878	47963583	47963633	+
LRTM2	chr12	1820267	1836753	1820583	1820633	+
SLC25A26	chr3	66133610	66388212	66221011	66221061	+
NT5C3B	chr17	41825057	41836260	41836196	41836246	-
GLDC	chr9	6532467	6645729	6605222	6605272	-
ZNF398	chr7	149126416	149183042	149147475	149147525	+
GALK2	chr15	49155656	49367869	49170203	49170253	+
SEMA4C	chr2	96859718	96870757	96863278	96863328	-
SCYL2	chr12	100267140	100341715	100267139	100267189	+
CCL20	chr2	227805739	227817564	227813841	227813891	+
TAOK3	chr12	118149801	118372907	118190495	118190545	-
SMIM32	chr5	136191468	136193162	136193084	136193134	-
PRKAA1	chr5	40759389	40798374	40798324	40798374	-
FBLN7	chr2	112138385	112188218	112138582	112138632	+
CAMSAP1	chr9	135808487	135907546	135907178	135907228	-
NOMO2	chr16	18417325	18562211	18562161	18562211	-
BTBD1	chr15	83016423	83067252	83041771	83041821	-
FTCD	chr21	46142109	46155567	46155517	46155567	-
TLE4	chr9	79571773	79726882	79652592	79652642	+
CRYAB	chr11	111908564	111923722	111911960	111912010	-
TRPM8	chr2	233917373	234019522	233917404	233917432	+
KRTAP4-2	chr17	41177446	41178221	41178158	41178208	-
ERCC5	chr13	102845831	102875995	102846048	102846098	+
PCDH12	chr5	141943581	141969741	141958762	141958812	-
CASP8	chr2	201233443	201287711	201260499	201260549	+
FBH1	chr10	5890203	5937594	5890230	5890280	+
AP1AR	chr4	112231740	112273110	112231824	112231874	+
FZD1	chr7	91264433	91271326	91264363	91264413	+
CD27	chr12	6444955	6451718	6444866	6444916	+
USP46	chr4	52590960	52659301	52659248	52659298	-
PLK1	chr16	23677656	23690367	23683901	23683951	+
KIF22	chr16	29790727	29805385	29790718	29790768	+
CMTR2	chr16	71281389	71289715	71289379	71289429	-
SLC22A4	chr5	132294394	132344190	132294442	132294492	+
GNAI1	chr7	79768028	80226181	80135288	80135338	+
HAS2	chr8	121612116	121641440	121641340	121641390	-
CLGN	chr4	140388453	140427661	140427611	140427661	-
CARNS1	chr11	67414968	67425607	67415677	67415727	+
ZNF202	chr11	123723914	123741675	123741625	123741675	-
HMGA2	chr12	65824460	65966291	65824459	65824509	+
PLGLB1	chr2	87002559	87021852	87021802	87021852	-
ZC3H10	chr12	56118260	56127514	56118261	56118311	+
CDR2L	chr17	74987632	75005800	74987631	74987681	+
NLRP14	chr11	7020479	7071526	7020445	7020495	+
ZNF721	chr4	425815	499156	474092	474142	-
MDK	chr11	46380756	46383837	46381654	46381704	+
COPS8	chr2	237085882	237100474	237085881	237085931	+
NCOA5	chr20	46060991	46089962	46089902	46089952	-
NME1-NME2	chr17	51153590	51171744	51153589	51153639	+
ASTN2	chr9	116423112	117415070	116687184	116687234	-
ITGA6	chr2	172427354	172506459	172490791	172490841	+
PRADC1	chr2	73228010	73233239	73233188	73233238	-
OR3A2	chr17	3276942	3386317	3278924	3278974	-
TTC14	chr3	180602163	180617828	180602188	180602238	+
SCNN1B	chr16	23278231	23381294	23348591	23348641	+
ZCCHC10	chr5	132996985	133026604	133026539	133026589	-
CABIN1	chr22	24065455	24065991	24156532	24156576	+
FXYD4	chr10	43371636	43376335	43374468	43374502	+
OR6V1	chr7	143113507	143114534	143052319	143052369	+
RAC3	chr17	82031678	82034204	82032877	82032927	+
TEX261	chr2	70985942	70994873	70994823	70994873	-
RYR3	chr15	33310962	33866121	33310944	33310994	+
ADH4	chr4	99123657	99157792	99144247	99144297	-
KLRF2	chr12	9881489	9895833	9881488	9881538	+
ZNF821	chr16	71859680	71895336	71884140	71884190	-
ARL2BP	chr16	57245259	57253635	57245258	57245308	+
NEFL	chr8	24950955	24956721	24956671	24956721	-
STAT4	chr2	191029576	191151596	191151545	191151595	-
PRKAR2B	chr7	107044705	107161811	107069624	107069674	+
AFP	chr4	73431138	73456174	73436246	73436296	+
MSH5-SAPCD1	chr6	31722193	31747032	31759444	31759494	+
TMEM174	chr5	73173193	73175143	73173291	73173341	+
ZRANB3	chr2	135136916	135531218	135530681	135530731	-
DSC3	chr18	30989365	31042815	31042765	31042815	-
PER1	chr17	8140472	8156506	8147955	8148005	-
FOXM1	chr12	2857680	2877174	2874164	2874214	-
CDK15	chr2	201790461	201895550	201854759	201854809	+
XAF1	chr17	6755447	6775647	6756045	6756095	+
CYBRD1	chr2	171522247	171558129	171522476	171522526	+
DVL2	chr17	7225342	7234517	7228985	7229035	-
PDE3A	chr12	20368537	20688583	20370124	20370174	+
PSAPL1	chr4	7430285	7434930	7434895	7434945	-
C10orf53	chr10	49679651	49710261	49679685	49679735	+
IL7	chr8	78675743	78805523	78805473	78805523	-
RPH3AL	chr17	281768	388309	352792	352842	-
CDK5RAP2	chr9	120388875	120580170	120580011	120580061	-
MLN	chr6	33794673	33804003	33803952	33804002	-
SLC22A18AS	chr11	2887344	2903575	2889380	2889430	-
EXOSC1	chr10	97435909	97446017	97445800	97445850	-
AGPAT2	chr9	136673143	136687457	136677330	136677380	-
MMP19	chr12	55835433	55842966	55842899	55842949	-
BBS1	chr11	66510606	66533613	66510615	66510665	+
BACE1	chr11	117285232	117316259	117299647	117299696	-
GKN2	chr2	68945232	68952893	68952920	68952970	-
G6PC1	chr17	42900797	42914438	42900796	42900846	+
USP5	chr12	6852148	6866632	6852127	6852177	+
ZNF16	chr8	144930358	144950888	144950545	144950595	-
